,target_noise,popsize,accuracy,SignalNoiseRatio
0,7.483425526135482,157,0.10191082802547771,low
1,7.483425526135482,250,0.08,low
2,7.483425526135482,500,0.046,low
3,7.483425526135482,1000,0.033,low
4,7.483425526135482,5000,0.0154,low
5,7.483425526135482,70000,0.0016857142857142856,low
6,7.483425526135482,423000,0.0005130023640661939,low
7,7.483425526135482,865000,0.00030289017341040463,low
8,4.280099072071806,157,0.37579617834394907,high
9,4.280099072071806,250,0.284,high
10,4.280099072071806,500,0.252,high
11,4.280099072071806,1000,0.194,high
12,4.280099072071806,5000,0.0962,high
13,4.280099072071806,70000,0.025042857142857144,high
14,4.280099072071806,423000,0.009617021276595744,high
15,4.280099072071806,865000,0.006376878612716763,high
